Row,Sample.ID,CSS,Farm,Field,Country,Particles.map,Particles.Map.ha,Weight.map,Kg.ha.weight.map,Particles.Mip,Area.Mip,Near.house,Near.road,Near.fields,Fence,Forest,Landfill,Industry,Crop.2022,Crop.2021,Crop.2020,Crop.2019,Crop.2018,CropDominant3,CropDominant4,Plastic,Org.fertilizer,Coating,Pesticide,Animal.manure,Compost,Cow.manure,Green.manure,Compost.manure,Chicken.manure,Orther.fert,Mulch,Irrig.pipe,Rope,Transplant.trays,Sprinkler,Tunnel,Net,Biodegradable,Perception,PH,Clay.per,Sand.per,Silt.per,OM.content,Size.m2,Slope,Road.speed,Road.distance.m,Fence.type,Forest.distance.m,Landfill.distance.m,Industry.distance
139,CSS08.01.1,8,1,1,Greece,0.75,7500,7436,18.59,76,1845192.96,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,7.245,na,na,na,4.475,13000,0,road_unspecified,500,,,na,na
140,CSS08.01.2,8,1,2,Greece,0.25,2500,687.3,1.72,141,2771732.16,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,7.13,na,na,na,6.975,7000,0,road_unspecified,1000,,,na,na
141,CSS08.02.1,8,2,1,Greece,0.5,5000,3950.5,9.88,3,110396.16,yes,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,7.14,na,na,na,6.305,1000,0,road_unspecified,0,,,na,na
142,CSS08.02.2,8,2,2,Greece,0.5,5000,8027.4,20.07,na,na,yes,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,7.18,na,na,na,6.79,1000,0,road_unspecified,10,,,na,na
143,CSS08.03.1,8,3,1,Greece,0,0,0,0,3.5,350902.08,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,6.795,na,na,na,5.77,1000,0,dirtroad,500,,,na,na
144,CSS08.03.2,8,3,2,Greece,0.75,7500,2297.9,5.74,47,922596.48,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,na,7.16,na,na,na,5.92,1500,0,dirtroad,,,,na,na
145,CSS08.04.1,8,4,1,Greece,0.5,5000,6437.7,16.09,0,0,no,yes,yes,yes,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,na,7.16,na,na,na,5.68,4000,0,road_50,0,,,na,na
146,CSS08.04.2,8,4,2,Greece,0,0,0,0,4,228677.76,no,yes,yes,yes,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,na,7.13,na,na,na,6.66,6000,0,road_50,0,,,na,na
147,CSS08.05.1,8,5,1,Greece,0.25,2500,137.2,0.34,6,315417.6,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,na,7.12,na,na,na,5.15,15000,0,dirtroad,,,,na,na
148,CSS08.05.2,8,5,2,Greece,0.5,5000,5916.6,14.79,19,1742682.24,no,yes,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,na,7.165,na,na,na,6.265,6000,13,dirtroad,,,,na,na
149,CSS08.06.1,8,6,1,Greece,2,20000,14784.3,36.96,146,6150643.2,yes,yes,yes,yes,no,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,na,7.135,na,na,na,2.46,2000,0,road_unspecified,50,,,na,na
150,CSS08.06.2,8,6,2,Greece,1.75,17500,6756.3,16.89,100,3564218.88,yes,yes,yes,yes,no,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,na,7.195,na,na,na,2.175,1000,0,road_less_50,50,,,na,na
151,CSS08.07.1,8,7,1,Greece,2,20000,20773.6,51.93,28,938367.36,yes,yes,yes,no,no,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,na,7.255,na,na,na,1.905,1000,0,road_less_50,10,,,na,na
152,CSS08.07.2,8,7,2,Greece,1.75,17500,15365.5,38.41,45,2933383.68,yes,yes,yes,no,no,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,na,7.215,na,na,na,1.755,1000,0,road_less_50,100,,,na,na
153,CSS08.08.1,8,8,1,Greece,0.75,7500,1183.2,2.96,176,7570022.4,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.215,na,na,na,2.645,4000,0,road_less_50,10,,,na,na
154,CSS08.08.2,8,8,2,Greece,0.5,5000,72.2,0.18,19,1277441.28,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.24,na,na,na,3,4000,0,road_less_50,10,,,na,na
155,CSS08.09.1,8,9,1,Greece,1,10000,1447.3,3.62,21,575637.12,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.21,na,na,na,2.905,2000,0,road_less_50,10,,,na,na
156,CSS08.09.2,8,9,2,Greece,2.25,22500,2705.9,6.76,42,875283.84,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.295,na,na,na,3.1,2000,0,road_less_50,10,,,na,na
157,CSS08.10.1,8,10,1,Greece,0.25,2500,4874.7,12.19,71,2010787.2,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.225,na,na,na,3.075,4000,0,road_less_50,10,,,na,na
158,CSS08.10.2,8,10,2,Greece,0,0,0,0,20,1387837.44,no,yes,yes,yes,no,no,no,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,na,7.255,na,na,na,3.345,4000,0,road_less_50,10,,,na,na
